Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Difference (Difference between any and any above 1)	0	0.625	1.25	2.5	5	10	20	40
Lemd1	1	132191431	132259227	+	null					Not found	0	2.0141687	-0.73728204	-0.17156528	0.2106171	0.87068194	1.1788898	1.2768866	0.8176602	1.1126336
AC124108.1	1	132191457	132209546	+	null					Not found	0	1.7579341	0.5132613	1.1290941	1.4907249	1.7481978	2.0313325	2.2711954	1.8594804	2.162757
Tmcc2	1	132356315	132391281	-	null					Not found	0	1.061941	2.0046496	1.8284347	1.4144894	1.5839685	1.2568922	1.253986	1.1361896	0.9427086
Etnk2	1	133363572	133380336	+	null					Not found	0	1.7818959	1.2751017	2.2974312	2.7652059	2.928233	3.0569975	3.0363946	2.9856982	3.0493307
Sox13	1	133382303	133424377	-	null					Not found	0	1.6773083	3.4271047	4.22577	4.4760647	4.6005	4.64196	4.796987	5.0557275	5.104413
Elf3	1	135253575	135258568	-	null					Not found	0	2.5064225	6.2517943	5.6476793	5.143886	4.8945975	4.401282	4.21746	3.7941315	3.7453718
Platr22	1	136696211	136726142	+	null					Not found	0	3.3872929	-2.1358314	-0.1028525	-0.011775422	0.32706013	0.8834339	1.0955569	0.93183124	1.2514614
Glul	1	153899944	153909723	+	null					Not found	0	1.8756428	6.165457	6.961232	7.3585486	7.571283	7.7986345	7.927995	7.965493	8.0411
Tor3a	1	156653617	156674356	-	null					Not found	0	2.0432343	2.212092	2.5315785	3.279779	3.6804314	4.035027	4.1570244	4.2553263	4.143273
Atp1b1	1	164437109	164458355	-	null					Not found	0	1.1249013	6.9263372	6.568257	6.1887145	6.101735	5.890079	5.801436	5.8553524	5.856686
Ddr2	1	169972307	170110762	-	null					Not found	0	1.7392566	2.1051767	1.8017997	1.380542	1.1993047	0.61382675	0.8580575	0.57819426	0.36592004
Fcgr2b	1	170958617	170976547	-	null					Not found	0	1.8365672	-0.5078002	0.17132251	0.6700486	0.9990059	1.218418	1.1585666	1.2411592	1.328767
Igsf9	1	172481788	172498878	+	null					Not found	0	1.3095455	1.7884412	2.2910616	2.5117865	2.858045	2.785946	2.9065874	3.0155995	3.0979867
Lefty1	1	180935022	180938400	+	null					Not found	0	1.4779589	4.053993	3.6357896	3.648815	3.4942658	3.1451013	2.7679822	3.044894	2.5760343
Ephx1	1	180976210	181020904	-	null					Not found	0	1.0264211	2.5945616	2.2846637	2.210617	1.9679791	1.9553838	1.7959965	1.5681405	1.5918014
Capn2	1	182467260	182517608	-	null					Not found	0	1.1400156	0.81412786	0.4481627	0.7431122	1.0737736	1.0089647	1.1585666	1.5881783	1.4605569
C130074G19Rik	1	184871926	184883218	-	null					Not found	0	1.6861495	3.5365937	3.1397676	2.799867	2.3751543	2.1451013	1.8504442	2.0448937	1.8755943
Plxna2	1	194618218	194816869	+	null					Not found	0	1.0088514	2.2751017	1.9944446	1.926824	1.801969	1.8333932	1.5643263	1.2662503	1.4374732
Optn	2	5020642	5064051	-	null					Not found	0	1.6559687	1.404737	1.9138262	2.210617	2.5788434	2.5788202	2.8580575	2.9435446	3.0607057
Ccdc3	2	5137776	5230878	+	null					Not found	0	3.0202415	1.0629485	2.5794072	3.068598	3.5711215	3.83763	3.9869065	3.995109	4.08319
St8sia6	2	13651021	13794064	-	null					Not found	0	1.4861331	1.5945616	2.48211	2.8870778	2.8151045	3.038712	2.9464133	3.0806947	3.056924
Rnf208	2	25242255	25244262	+	null					Not found	0	1.2941891	0.8310017	1.389746	0.812653	0.87068194	0.44637004	0.09555686	0.49573207	0.4374732
Grin1	2	25291181	25319187	-	null					Not found	0	1.6886259	1.8723426	1.40162	1.3457767	0.8538081	0.850267	0.64575386	0.8512128	0.1837167
Ncs1	2	31245823	31295989	+	null					Not found	0	1.4091306	3.6502898	3.41925	2.7869666	2.7344358	2.4900913	2.2423983	2.2411592	2.36592
Dnm1	2	32308471	32353338	-	null					Not found	0	1.1022623	1.762289	1.7655035	1.2612432	1.3632803	1.023915	0.6632413	0.97812486	0.8926679
Mvb12b	2	33729953	33887946	-	null					Not found	0	1.4318403	2.7534652	2.5476983	1.9882245	1.6440895	1.3665167	1.3216249	1.4416922	1.4374732
Ptgs1	2	36230426	36252272	+	null					Not found	0	6.8467245	-4.595263	-1.7217623	-0.23918585	1.0142727	1.3308928	1.8039018	2.1830564	2.2514613
Nr6a1	2	38723370	38927688	-	null					Not found	0	1.6443892	5.9253554	6.7080927	7.063035	7.2681823	7.4204755	7.4730773	7.5695586	7.5697446
Gpd2	2	57237635	57370719	+	null					Not found	0	1.0081716	5.1103697	5.545024	5.814773	5.9216695	6.0741563	6.060929	6.0039926	6.1185412
Acvr1	2	58388644	58567157	-	null					Not found	0	1.0425692	2.9934516	2.5898237	2.1846216	2.1168425	2.001431	2.0363946	2.2348177	1.9508824
Gm13580	2	60411525	60412579	+	null					Not found	0	1.124277	1.3354744	1.0558453	0.97311765	0.72981936	0.57374936	0.4581268	0.3624656	0.21119733
Csrnp3	2	65845767	66031546	+	null					Not found	0	1.1609049	2.609308	3.2390668	3.5856564	3.668419	3.736885	3.5782208	3.770213	3.7524035
Gad1	2	70553072	70602014	+	null					Not found	0	1.2782125	2.726665	3.2324338	3.4032621	3.4969852	3.6884449	3.8370237	3.9743233	4.0048776
Pdk1	2	71873224	71903858	+	null					Not found	0	3.5914593	2.85182	5.1529994	5.872395	6.0242043	6.294367	6.368686	6.3937554	6.4432793
Tfpi	2	84432855	84476775	-	null					Not found	0	1.311914	3.468132	4.089268	4.4228525	4.6005	4.7254987	4.7414727	4.780046	4.7767487
Serping1	2	84765387	84775444	-	null					Not found	0	2.1346836	3.066515	2.1851282	1.6127154	1.9282328	1.7368851	1.654524	0.93183124	1.2646366
Slc43a1	2	84838850	84863594	+	null					Not found	0	1.3858795	4.265824	3.630754	3.3101528	3.3513076	3.0642471	2.9955611	2.8799443	3.0416975
Trim44	2	102300119	102407828	-	null					Not found	0	1.3127346	4.048593	4.515277	4.765206	4.965036	4.991958	5.092333	5.3046017	5.3613276
Fjx1	2	102449366	102452499	-	null					Not found	0	2.1316514	0.7266651	1.1851283	1.4585446	1.5839685	2.31882	2.4480731	2.834534	2.8583164
Cd59a	2	104095801	104115354	+	null					Not found	0	1.078329	2.7710593	2.5741706	2.2859051	2.2192042	1.907818	1.9606272	2.1631567	1.6927303
Pax6	2	105668900	105697364	+	null					Not found	0	1.6450063	1.6993576	2.3288636	2.8041415	2.9241972	3.2726252	3.2510977	3.2847865	3.344364
Mpped2	2	106693269	106868356	+	null					Not found	0	1.6496967	1.1189824	1.8632002	1.9501565	2.3632803	2.324869	2.6805193	2.6703641	2.7686791
Ryr3	2	112631355	113217096	-	null					Not found	0	1.2118067	0.35893324	0.47088274	0.79557955	0.9038487	0.9785911	1.1830198	1.3740535	1.5707399
Fmn1	2	113327736	113716767	+	null					Not found	0	1.0264294	2.2376268	1.9944446	1.5930866	1.5529416	1.662407	1.3542911	1.2909124	1.2111974
Meis2	2	115863064	116065839	-	null					Not found	0	1.0548646	0.49219978	0.3777733	0.31015274	0.6538705	1.0387121	1.3650174	1.1631567	1.2646366
Spred1	2	117121374	117182279	+	null					Not found	0	1.8499007	4.3325152	5.175651	5.430477	5.7222857	5.921854	5.9951296	6.0938945	6.182416
Rasgrp1	2	117279993	117343001	-	null					Not found	0	2.2662885	4.3934216	3.7423456	3.5065498	3.1133022	2.5377443	2.4581268	2.385549	2.1271331
Itpka	2	119742337	119751263	+	null					Not found	0	1.1008043	4.8310018	4.4323325	4.09849	4.081042	3.83763	3.9084218	3.7301974	3.8712943
Pla2g4e	2	120166412	120245335	-	null					Not found	0	1.4196043	3.5595553	3.1953964	2.6078334	2.4556444	2.4296267	2.139951	2.1631567	2.162757
Gm26899	2	120532904	120539846	+	null					Not found	0	1.4343029	0.31162748	1.4481627	1.6886644	1.0737736	1.7459304	1.3650174	1.3624656	1.5600927
Ckmt1	2	121357714	121363737	+	null					Not found	0	1.0435822	4.317626	3.5924163	3.5143976	3.3898609	3.3811042	3.2740438	3.2939658	3.306644
Patl2	2	122120108	122186189	-	null					Not found	0	1.9466971	2.839365	2.1713226	2.096749	1.5529416	1.2694923	1.5549884	1.71205	0.8926679
Sirpa	2	129592835	129632228	+	null					Not found	0	2.5773442	3.486886	2.942558	2.2674482	2.0293796	1.7001265	1.4277533	0.97812486	0.9095418
Stk35	2	129800517	129832287	+	null					Not found	0	1.1466527	5.8346667	5.5995216	5.282079	5.2076297	4.8875265	4.688014	4.9190335	4.8669815
Lzts3	2	130632839	130642803	-	null					Not found	0	1.1552325	1.7085178	1.1290941	1.0756874	1.2126014	0.55328524	0.7144666	1.0376258	1.0378658
Smox	2	131491496	131525922	+	null					Not found	0	1.5472026	4.3086185	3.9200315	3.3101528	3.1892512	2.9317968	2.9175584	2.761416	2.8884184
Lrrn4	2	132868305	132880891	-	null					Not found	0	1.2869904	1.3472514	2.1002395	2.1911647	2.6342418	2.511465	2.6010847	2.5731761	2.328767
Flrt3	2	140650914	140671469	-	null					Not found	0	1.9450858	0.18609671	1.5043057	2.1311824	1.9362702	2.0678582	1.8881148	1.9628581	2.0146585
Acss1	2	150618105	150668500	-	null					Not found	0	1.3531911	4.628739	4.253881	4.0489206	3.9241972	3.6766677	3.4606295	3.2755477	3.2841768
Ninl	2	150934519	151039382	-	null					Not found	0	1.0374784	4.785198	4.476507	4.242466	4.1976337	3.8163197	3.7880478	3.8027322	3.7477198
Tcf15	2	152143561	152149097	+	null					Not found	0	1.7963381	2.0267887	2.4595673	2.743112	2.9718943	3.208637	3.4303088	3.7854798	3.8231268
Id1	2	152736251	152737410	+	null					Not found	0	3.2190027	1.0046498	1.5369718	2.3690464	3.095469	3.6113544	4.002447	4.2236524	4.199239
Myh7b	2	155611212	155634307	+	null					Not found	0	1.4010336	4.7289176	4.362666	3.9482265	3.614342	3.327884	3.3783143	3.3566365	3.4548204
Snai1	2	167538195	167542814	+	null					Not found	0	1.1663454	1.2751017	1.5794071	1.6127154	1.3751545	0.44637004	0.6805193	0.9932318	1.1271331
Cass4	2	172393794	172433757	+	null					Not found	0	3.400468	-2.0103006	-1.9441549	-0.4674549	-0.27018067	0.7459303	1.0024475	1.008182	1.3901675
Bmp7	2	172868012	172940321	-	null					Not found	0	1.2160708	3.0120673	2.7928107	2.5831711	2.245317	2.0964277	1.7959965	2.1225147	2.1557024
Gm14296	2	176892509	176927809	-	null					Not found	0	1.4513493	-0.3098609	-0.005555317	0.40326214	0.7663452	0.70940447	0.35429108	0.40826923	1.1414883
Cdh4	2	179442431	179899373	+	null					Not found	0	2.192194	-0.5078002	0.6803361	1.3690464	1.3023981	1.2441812	1.417485	1.6843936	1.5167
Pkia	3	7366669	7445366	+	null					Not found	0	1.5217656	-0.010300523	0.79281086	1.4693513	1.4888114	1.5114651	1.4379491	1.2662503	1.3536416
Car3	3	14863512	14872523	+	null					Not found	0	1.0251262	0.3820168	0.6803361	0.70704293	0.61434203	1.0387121	1.407143	0.78330874	1.0378658
Car2	3	14886273	14900770	+	null					Not found	0	1.6557131	3.701653	4.191982	4.674725	4.788713	5.1880445	5.28961	5.357366	5.3224807
Fndc3b	3	27416162	27711307	-	null					Not found	0	1.3253696	4.5908513	4.2307706	3.8020058	3.889432	3.3635812	3.2654817	3.34196	3.2809384
Pld1	3	27938695	28133362	+	null					Not found	0	1.1389121	1.2751017	0.6408077	0.59308666	0.74819785	0.20536192	0.24239813	0.13618962	0.5276711
Lrrc31	3	30679058	30699843	-	null					Not found	0	1.2433882	2.7710593	2.630754	2.1581495	2.066469	1.8333932	1.9392537	1.7745914	1.5276711
Mfn1	3	32529465	32579239	+	null					Not found	0	1.1806984	6.353834	5.938488	5.562503	5.3721952	5.2639933	5.1731358	5.2592373	5.240667
Spry1	3	37639947	37644598	+	null					Not found	0	2.323785	0.81412786	1.7746636	1.918962	2.2836208	2.618759	2.6975927	3.0007262	3.137913
Noct	3	51224447	51251644	+	null					Not found	0	2.1656725	2.4103615	2.8284347	3.2889583	3.6708293	4.1192303	4.413615	4.533683	4.576034
Siah2	3	58674938	58692400	-	null					Not found	0	1.0600836	2.3990903	2.1573834	1.5930866	1.6440895	1.4352294	1.5073704	1.3390067	1.4021401
Tiparp	3	65528410	65555518	+	null					Not found	0	1.6535301	4.1712656	4.3927236	4.975962	5.288338	5.575019	5.7425013	5.739746	5.8247957
B3galnt1	3	69574158	69598960	-	null					Not found	0	1.5777683	-0.10340992	0.25224242	0.812653	1.0882733	1.3428655	1.1210918	1.4743584	1.3412579
Tmem144	3	79812564	79852773	-	null					Not found	0	1.2655692	2.1529298	1.5369718	1.573187	0.88736063	1.3428655	1.2189392	1.5478207	1.303456
Pdgfc	3	81036416	81214040	+	null					Not found	0	1.3405871	4.7959805	4.4438624	4.0756874	3.8281212	3.6743007	3.6235921	3.4553933	3.6557045
Muc1	3	89229057	89233381	+	null					Not found	0	1.0434506	1.6141903	1.48211	0.95785093	1.1993047	0.7815543	0.76393527	0.93183124	0.5707398
Il6ra	3	89864059	89913196	-	null					Not found	0	2.0300999	1.1326574	1.8196108	2.4032621	2.5265663	2.6576219	2.8769164	2.951301	3.1627572
S100a13	3	90514435	90524581	+	null					Not found	0	1.001126	2.3762805	1.756285	1.7608141	1.3751545	1.3897865	1.4976552	1.4416922	1.4490612
S100a6	3	90612882	90624181	+	null					Not found	0	1.368561	1.5132614	1.1290941	1.1976781	1.5839685	1.939702	2.4976552	2.3330817	2.4548204
Sema6c	3	95160457	95174024	+	null					Not found	0	1.1249294	4.0083632	3.6924698	3.463958	3.3898609	2.8834338	2.9029117	3.1121728	3.1126335
Ankrd35	3	96670131	96691032	+	null					Not found	0	1.5851548	3.7688715	3.1075075	2.8951154	2.858045	2.618759	2.2482038	2.2156243	2.1837168
Pias3	3	96696384	96706070	+	null					Not found	0	1.202465	4.604409	4.386762	4.056107	3.9660177	3.6088774	3.4019442	3.4082692	3.5194507
Pdzk1	3	96829284	96870926	+	null					Not found	0	2.7090518	1.5846461	0.94661623	0.5325451	-0.063729785	-0.32807028	-0.54187316	-0.83684325	-1.1244057
Ppm1j	3	104781056	104786018	+	null					Not found	0	2.9000392	0.84768045	1.4366671	1.8789955	2.547705	2.8875265	3.3077924	3.7097654	3.7477198
Rhoc	3	104788375	104794459	+	null					Not found	0	1.1062849	2.0912375	2.150363	2.532545	2.668419	2.8834338	3.0826178	3.0771542	3.1975224
Gstm3	3	107963696	107969283	-	null					Not found	0	1.2591126	2.932214	2.359626	2.0253139	2.2257767	1.754919	1.7394129	1.7833087	1.6731014
S1pr1	3	115710433	115715072	-	null					Not found	0	2.376658	2.619056	1.9466163	0.91105676	0.81945646	0.46839634	0.24239813	0.26625025	0.26463658
Snx7	3	117781647	117868936	-	null					Not found	0	1.0997971	1.4159641	1.1290941	0.77830154	1.1026287	0.8163196	1.0024475	0.7658213	0.31616703
Sgms2	3	131318985	131491411	-	null					Not found	0	2.1780756	-0.78790814	-0.44165438	-0.20442045	0.51050633	0.7815543	1.1830198	1.3390067	1.3901675
Bdh2	3	135281221	135304426	+	null					Not found	0	2.0605633	-0.64106673	0.8459221	0.65118957	1.1858842	1.205362	1.0430894	1.4194965	0.9910715
Manba	3	135485611	135571404	+	null					Not found	0	3.2554333	2.7401273	4.52752	5.2082	5.567892	5.7974114	5.9955606	5.980496	5.9875994
Nfkb1	3	135584655	135691547	-	null					Not found	0	1.3019707	3.037732	3.8437479	3.8810203	4.210946	4.0313325	4.1935887	4.217233	4.3397026
Lmo4	3	144188530	144205220	-	null					Not found	0	1.001499	1.3705212	1.6206298	1.8544732	2.1926098	2.2568922	2.3216248	2.2537594	2.3720202
Ccn1	3	145646976	145649981	-	null					Not found	0	1.2568772	0.2376269	1.1433079	0.92682403	1.2645961	1.2313572	1.3542911	1.3740535	1.4945041
Ddah1	3	145758675	145894277	+	null					Not found	0	1.1771436	3.4159641	4.065207	4.221844	4.4528456	4.4254103	4.57129	4.4553933	4.5931077
Adgrl2	3	148815583	148990555	-	null					Not found	0	1.3641422	2.9361184	3.5767913	3.7341793	3.901798	4.0911136	4.166253	4.267804	4.3002605
St6galnac3	3	153198266	153725174	-	null					Not found	0	1.3646187	2.1991527	1.610434	1.573187	1.0882733	1.023915	1.0695616	0.83453405	0.84082896
Esrp1	4	11331933	11386783	-	null					Not found	0	1.9384373	-0.5078002	0.51527685	0.6700486	0.9362702	1.023915	1.2070651	1.4306371	1.0224358
Epha7	4	28813131	28967499	+	null					Not found	0	1.6183741	2.2056367	2.7792218	3.1747515	3.4942658	3.6431708	3.639141	3.8240108	3.8052049
Ddx58	4	40203773	40239828	-	null					Not found	0	2.8136895	2.7401273	4.169587	4.718412	5.107975	5.333145	5.553817	5.506301	5.44545
Aqp3	4	41092722	41098183	-	null					Not found	0	1.7708931	6.724127	5.9781814	5.8415346	5.556205	5.316545	5.1179247	4.9532337	4.997991
Myorg	4	41495604	41503076	-	null					Not found	0	1.0103292	4.505399	4.515277	4.06682	4.021846	3.7414148	3.5049477	3.5272105	3.5166998
Cntfr	4	41657498	41697089	-	null					Not found	0	2.353547	0.6335556	1.389746	1.9501565	2.6342418	2.6285734	2.6805193	2.9396505	2.9871027
Rusc2	4	43381979	43427088	+	null					Not found	0	1.1621943	4.6251154	4.232434	3.7138748	3.752756	3.4629211	3.5712903	3.8428972	3.8006897
Fbxo10	4	45034247	45084604	-	null					Not found	0	1.1531237	2.5994937	2.4652362	1.9731177	2.1723375	1.44637	1.6805193	1.7301974	1.8052051
Zfp462	4	54945048	55083563	+	null					Not found	0	1.1669779	5.432643	6.12328	6.2961845	6.569185	6.594553	6.4436526	6.4870872	6.599621
Ctnnal1	4	56810935	56865188	-	null					Not found	0	1.1154504	4.497494	4.9993367	5.312405	5.488811	5.519399	5.6129446	5.5894213	5.5527267
Ptpn3	4	57190841	57301837	-	null					Not found	0	1.4468069	2.8013415	3.3535259	3.4960194	3.8685832	4.108751	4.106784	4.204309	4.2481484
Pakap	4	57568179	57896982	+	null					Not found	0	1.0587935	4.7841153	5.253062	5.492713	5.7205415	5.842909	5.718654	5.766371	5.7773232
Akap2	4	57717657	57896984	+	null					Not found	0	1.0673776	4.77869	5.2506022	5.494036	5.721123	5.8460674	5.723351	5.76747	5.780766
Lpar1	4	58435255	58553898	-	null					Not found	0	1.4899719	4.172921	3.7259111	3.3690464	3.1586626	3.0052028	2.8078382	2.68904	2.6829493
Megf9	4	70427065	70534995	-	null					Not found	0	1.1069984	1.8885527	1.5689148	1.3919468	0.9522118	0.7815543	1.2882019	0.9932318	1.0378658
Bnc2	4	84275095	84675275	-	null					Not found	0	1.1360638	2.609308	3.222427	3.261243	3.6068084	3.652821	3.6588893	3.6680126	3.7453718
L1td1	4	98726734	98738480	+	null					Not found	0	1.5671401	7.0537686	7.674843	8.085269	8.33221	8.528438	8.569407	8.601563	8.620909
Foxd3	4	99656299	99658622	+	null					Not found	0	2.209614	0.9282989	1.5369718	1.7519903	1.870682	2.2505507	2.628052	3.0229793	3.137913
Dab1	4	103619359	104744844	+	null					Not found	0	2.2314224	1.3472514	2.4765074	2.8084035	3.2026403	3.2881882	3.3542912	3.2817135	3.5786738
Plpp3	4	105157347	105232764	+	null					Not found	0	1.1295767	4.6093082	4.408992	4.0161304	3.775334	3.5325267	3.6369298	3.4797316	3.5000854
Lrp8	4	107801869	107876840	+	null					Not found	0	1.4099195	2.1394467	2.8459222	2.8789957	3.248548	3.3066454	3.3862338	3.4743583	3.5493662
Calr4	4	109234485	109254571	+	null					Not found	0	2.4036431	1.3354744	0.53697187	0.55300915	0.44441715	-0.08414469	-0.3194807	-1.0681688	-0.34679803
Hpdl	4	116819904	116821707	-	null					Not found	0	1.0202591	2.1991527	2.0558453	2.674725	2.5529416	2.850267	3.0761044	3.0339782	2.917905
Rimkla	4	119465283	119492628	-	null					Not found	0	1.6975982	0.9125316	2.2652986	2.463958	2.4556444	2.401282	2.6101298	2.5529275	2.5865648
Hivep3	4	119733784	120138045	+	null					Not found	0	1.9896314	1.4271047	0.9138262	0.59308666	0.63424176	0.038712062	-0.219945	-0.4218057	-0.56252676
Col9a2	4	121039385	121055322	+	null					Not found	0	1.4855199	4.3206162	3.6656396	3.2581306	3.2420785	2.978591	2.8350964	3.0155995	2.896905
Pou3f1	4	124656807	124660655	+	null					Not found	0	1.9365208	0.21209186	0.51527685	1.0614736	1.2645961	1.294367	1.3105696	1.7919736	2.1486127
Zc3h12a	4	125118423	125127840	-	null					Not found	0	1.5823658	1.404737	1.4133972	2.0326188	2.245317	2.3547394	2.5073702	2.8553524	2.9871027
AU040320	4	126753544	126870070	+	null					Not found	0	1.0773644	2.7578838	2.4481628	2.0756874	2.1723375	1.9238482	1.6805193	1.9932318	2.1343288
Lck	4	129548344	129573641	-	null					Not found	0	1.1122339	3.0009267	3.5794072	3.6886642	3.7708466	3.8956773	4.1131606	3.9932318	4.0588164
Khdrbs1	4	129703164	129742303	-	null					Not found	0	1.1672068	6.3759212	6.9986043	7.1747518	7.338856	7.4157014	7.5028243	7.4772153	7.543128
Fgr	4	132974095	133001910	+	null					Not found	0	1.3817159	-0.27333498	-0.037264146	0.13118249	0.8538081	0.76385224	1.1083809	0.83453405	1.0224358
Lin28a	4	134003330	134018841	-	null					Not found	0	1.0154243	7.2199197	7.7420545	7.9169893	8.0255	8.140714	8.201091	8.183777	8.235344
Gm13061	4	134018147	134019869	+	null					Not found	0	1.4593617	-0.010300523	0.62062985	0.6127154	0.6538705	1.023915	1.0563861	1.2026851	1.4490612
Id3	4	136143497	136145755	+	null					Not found	0	4.744068	-0.38580972	1.8284347	3.0614734	3.430259	4.033181	4.2010913	4.2693563	4.3582582
E2f2	4	136172394	136196057	+	null					Not found	0	1.6092255	2.7490327	3.1713226	3.242466	3.752756	4.025773	4.28114	4.159813	4.3582582
Rap1gap	4	137664726	137729861	+	null					Not found	0	1.1124845	4.4640813	4.1201386	3.8789954	3.7228665	3.5088108	3.3515968	3.5529273	3.4747987
Sh2d5	4	138250403	138261332	+	null					Not found	0	1.4931368	1.224916	1.2390671	0.55300915	0.8538081	-0.2540697	0.3325959	0.49573207	0.48327687
Camk2n1	4	138454314	138460123	+	null					Not found	0	1.58143	4.1189823	3.6078742	3.307144	2.995164	2.7504318	2.7476335	2.5375524	2.5918014
Klhdc7a	4	139960220	139968026	-	null					Not found	0	1.230248	4.2642717	4.04453	3.8190038	3.6708293	3.4601758	3.3077924	3.059321	3.0340238
Igsf21	4	140026846	140246784	-	null					Not found	0	1.2350445	-0.010300523	0.8971475	0.84620565	1.1168425	0.8997357	1.0296689	0.80058664	1.224744
Padi2	4	140906344	140952586	+	null					Not found	0	1.7872746	2.518479	2.2190757	1.6978829	1.6143421	1.1105027	1.0955569	0.8677009	0.73120445
Arhgef19	4	141239499	141257564	+	null					Not found	0	1.1323568	1.3705212	1.3657005	0.9882246	0.9362702	0.5325267	0.4174849	0.7658213	0.23816445
Epha2	4	141301240	141329384	+	null					Not found	0	1.9616637	4.5314417	5.0828295	5.4359965	5.816738	5.977631	6.159337	6.3653708	6.4931054
Tmem82	4	141613376	141618633	-	null					Not found	0	1.5450175	3.7356536	3.3747647	2.7955794	2.5839684	2.3897865	2.492773	2.4138937	2.1906362
Plekhm2	4	141625734	141664899	-	null					Not found	0	1.0690546	3.1224134	3.0177772	2.693281	2.5371742	2.0533588	2.1830196	2.2847862	2.1697774
Pdpn	4	143267431	143299564	-	null					Not found	0	1.76805	4.084217	3.48211	3.187897	2.883209	2.5939274	2.386234	2.3740535	2.316167
Pik3cd	4	149649168	149702571	-	null					Not found	0	1.5884949	0.7622889	1.3288637	1.5325451	1.853808	1.9938579	2.3325958	2.3507838	2.2646365
